company,total_complaints
Later in the day at XXXX I received another notification on my phone from the Wells Fargo app that there was another attempt to charge {$1.00} on my Wells Fargo debit card at a XXXX XXXX station in XXXX XXXX XXXX CA XXXX That was when I got worried so I ran to the mailbox to see if indeed my card had been stolen,1
I sent them a letter and it was noted that they received the letter regarding the fraud claim stating that the charges was unauthorize,1
These accounts should not be furnished on my consumer report as they are in VIOLATION Under,1
I have text alerting on my account,1
We are now at day XXXX since DigniFi XXXX received my information to support Fraud and there is still no resolution and I continue to have this impact my credit report with the original amount and past dues. Also,1
If Apple Card and the CFPB is not intelligent enough to understand my argument of accreditation,1
"My SSN was stolen a few years back and I am nervous to think that I am now vulnerable to this happening again but this time with another company which will impact my credit score even more.\"",1
To my surprise,1
I wrote Citibank asking that my card be reinstated,1
I still have not received a dime from BOA but I've been credited the whole amount of the debt on my statements. I have finally reached out to resolve with XXXX,1
"How can credit card companies force their customers to pay off a balance with a promotional APR in full just so I don't get the 0 % interest benefit for the year??\"",1
"I would be happy to provide more info if needed.\"",1
"Old account XXXX XXXX XXXX XXXX ( Currently XXXX XXXX XXXX XXXX ) - XX/XX/2023 XXXX XXXX {$10.00} XX/XX/2023 XXXX XXXX {$11.00} XX/XX/2023 XXXX XXXX {$6.00} XX/XX/2023 XXXX XXXX {$25.00} XX/XX/2023 XXXX XXXX {$18.00} XX/XX/2023 XXXX XXXX XXXX {$22.00} XX/XX/2023 XXXX XXXX {$12.00} XX/XX/2023 XXXX XXXX {$31.00} Old card - XXXX XXXX XXXX XXXX ( US Bank ) and the current card number for this account is XXXX XX/XX/2023 XXXX XXXX {$42.00} XX/XX/2023 XXXX XXXX XXXX XXXX XXXX {$33.00} XX/XX/2023 XXXX XXXX XXXX XXXX XXXX {$29.00} XX/XX/2023 XXXX XXXX  {$24.00} XX/XX/2023 XXXX XXXX {$15.00} XX/XX/2023 XXXX XXXXXXXX {$12.00} XX/XX/2023 XXXX XXXXXXXX {$7.00} XX/XX/2023 XXXX XXXX {$19.00} XX/XX/2023 XXXX 's {$7.00} XX/XX/2023 XXXX {$69.00} XX/XX/2023 XXXX XXXX {$6.00} XX/XX/2023 XXXX 's {$5.00} XX/XX/2023 XXXX 's {$3.00} XX/XX/2023 XXXX XXXX XXXX XXXX {$37.00} XX/XX/2023 XXXX XXXX XXXX XXXX {$29.00} XX/XX/2023 XXXX 's {$27.00} XX/XX/2023 XXXX XXXX XXXX XXXX {$27.00} XX/XX/2023 XXXX 's {$25.00} XX/XX/2023 XXXX {$39.00} XX/XX/2023 XXXX XXXX XXXXXXXX XXXX {$22.00} XX/XX/2023 XXXX XXXX XXXXXXXX XXXX {$17.00} XX/XX/2023 XXXX XXXX XXXX XXXX XXXX {$13.00} XX/XX/2023 XXXX XXXX {$14.00} XX/XX/2023 XXXX XXXX {$13.00} XX/XX/2023 XXXX 's {$3.00} XX/XX/2023 XXXX XXXX XXXX XXXX {$54.00} XX/XX/2023 XXXX XXXX XXXX {$13.00} XX/XX/2023 XXXX XXXX XXXX {$37.00} XX/XX/2023 XXXX XXXX XXXX  {$22.00} XX/XX/2023 XXXX XXXX XXXX {$29.00} XX/XX/2023 XXXX XXXX XXXX {$27.00} XX/XX/2023 XXXX XXXX XXXX {$17.00} XX/XX/2023 XXXX XXXX {$35.00} XX/XX/2023 XXXX XXXX {$13.00} XX/XX/2023 XXXX XXXX {$14.00} XX/XX/2023 XXXX XXXX {$3.00} XX/XX/2023 XXXX {$39.00} XX/XX/2023 XXXX XXXX {$38.00} XX/XX/2023 XXXX XXXX {$25.00} XX/XX/2023 XXXX 's {$27.00} XX/XX/2023 XXXX {$26.00} XX/XX/2023 XXXX XXXX XXXX XXXXXXXX {$33.00} XX/XX/2023 XXXX XXXX XXXX XXXXXXXX {$29.00} XX/XX/2023 XXXX XXXX {$7.00} XX/XX/2023 XXXX XXXX {$19.00} XX/XX/2023 XXXX XXXX {$3.00} XX/XX/2023 XXXX XXXX {$6.00} XX/XX/2023 XXXX 's {$5.00} XX/XX/2023 XXXX {$7.00} XX/XX/2023 XXXX {$32.00} XX/XX/2023 XXXX XXXX {$42.00} XX/XX/2023 XXXX XXXX {$24.00} XX/XX/2023 XXXX XXXX {$12.00} XX/XX/2023 XXXX XXXXXXXX {$7.00} XX/XX/2023 XXXX XXXX {$15.00} XX/XX/2023 XXXX {$69.00} XX/XX/2023 XXXX XXXX {$12.00} XX/XX/2023 XXXX XXXX {$31.00}\"",1
During the sign-up process,1
"Thank you for reviewing my complaint.\"",1
CFPB Please keep in mind,1
I contacted Barclaycard several times regarding this matter,1
"Requesed a statement of all changes and payments never got it\"",1
"I am attaching correspondence of their wrongdoing. And correspondence received ( 2 accounts in 24 hours ) limiting 2 of my cards.\"",1
As of today,1
XXXX XXXX XXXX XXXX Good afternoon,1
It also seems to me that it is wrong for any financial institution to shoot first and ask questions later - i.e.,1
Dispute Number : XXXX Date Posted : XX/XX/2023 Merchant Name : XXXX Amount of Transaction : XXXX Card Number : XXXX My evidence unequivocally proves that Wells Fargo received the reversal from the merchant,1
I have provided photos of the package and bathtub I received INSTEAD of the baby stroller and gift items I ordered,1
"Spring Oaks Capital, LLC",1
On XXXX XX/XX/XXXX,1
"XXXX - Customer Service - XXXX Chase Bank Dispute - XXXX\"",1
This mismanagement by the bank,1
The credit card from Bank of America took a long time to come via mail so my son assumed that someone had already gotten the card and was doing the same thing to the Bank of America cards. Therefore,1
I sent proof of no access to the system dated XX/XX/XXXX with my dispute ( attached ) this is after XX/XX/XXXX,1
"Someone has applied for credit cards using my personal information that was NOT me.\"",1
"I'm really disappointed and I never thought my first Credit card company would close my account like that.\"",1
-- XX/XX/XXXX- After waiting all day for a call,1
"HUNTINGTON NATIONAL BANK, THE",1
We asked for an explanation as to why my wife was suddenly being prevented from boarding and the XXXX XXXX agent stated that her boarding pass contained a passport number that did not match her passport. This was a lie. As I explained to the agent at the time,1
"Crown Asset Management, LLC, Duluth, GA Branch",1
The customer service representatives have told me there is no way for me to contact the fraud department directly to speak with them. I have requested a call back from the fraud department twice,1
"Not sure if exists a rule that they need to put my payment on the high interest first then the 0 %?\"",1
. I've been calling jpmc all year,1
XXXX was supposed to be a 3-day event from XX/XX/XXXX to XXXX. After canceling the first day of the event on XX/XX/XXXX,1
Unlike my other 0 % APR credit card,1
I did send the money,1
XX/XX/XXXX : Repeat of the above. Card ( XXXX ) was deactivated,1
"I would like to report the company for failing to comply with their own terms and conditions related to interest charges. I do not think the burden of interest fee compliance should be on the consumer especially with a known technical issue.\"",1
XX/XX/2023. I'm trying to access my Chase Visa account online,1
We have previously done business with the merchant,1
Unbeknownst to me,1
I then received my statement ending XXXX XX/XX/XXXXXXXX  indicating payment of {$220.00} received XX/XX/XXXX,1
"The files I've attached are some information on what happened. \\\" XXXX  '' is what I submitted to Citi for the dispute. \\\" XXXX",1
"I have been sick over the last few weeks and we've had other illnesses in our household. I was late making a payment but not over 30 days late.\"",1
"The photo attached is from XX/XX/2023.\"",1
Because this account has been closed,1
"XXXX for the {$1700.00} unauthorized transaction.\"",1
"I would like for someone to check out the details of my account to see if I am being wrongfully charged fee/interest.\"",1
"The representative I was working with was a young lady by the name of XXXX and her lack of compassion and courtesy when dealing with someone who had been a victim or believed that they were a victim and to act like they were the criminal themselves is appalling to say the least. I know that she works under a young lady by the name of XXXX who is a team lead in the recovery and fraud department for mountain America credit Union XXXX 's supervisor is supposed to be a XXXX and they are all overseen by a AVP XXXX when I asked for last names I was met with resistance once again and told that I would receive a call back when I tried to have the representative announce to me the number on the account to make sure that it was an accurate number and she wasn't just taking down or throwing away the number to prevent any sort of follow-up she once again became irate and told me how she would not verify my information for security purposes after I had been verified given my code word and talked with multiple people at the same financial institution. All I want is my bank to do what is right and allow my dispute to flow through the process through the available channels and see what the merchant comes back with as far as my inquiries of fair play and being robbed. If the merchant comes back and states or shows how I was not a victim of fraud or lopsided computer programming. I will gladly pay every XXXX  but I feel I was robbed and frauded on the utmost level. My bank is supposed to protect me not the merchant!\"",1
"\\\" I'm sorry that I do not remember the name '' I do remember being a little hesitant so my husband and I look into article reading",1
To add to the matter,1
"I want the information of the person who did this and I want my account to be XXXX  out or I will be taking this information to an attorney due to the mental and emotional stress and having to miss work to go to the commissioner 's office and to the sheriff 's office to figure out what was going on.\"",1
It is crucial to emphasize that I have diligently followed Wells Fargo 's process,1
"Thank you for your assistance in addressing this matter.\"",1
Despite my efforts to rectify the issue with XXXX,1
On the website,1
And that was it for Chase. No official letter,1
"I contacted XXXX on more occasions than I can count to resolve the issue. Upon review of XXXX XXXX Office of Executive Escalations in an email on XX/XX/XXXX they stated \\\" XXXX successfully sent the {$930.00} USD payment to your external wallet AMEXP2PPASS ending XXXX. '' I asked XXXX to clarify what this AMEXP2PPASS account was",1
"I checked my credit report and there is nothing on there that is delinquent.\"",1
"Request justification for this extension of time.\"",1
"\\\" To the extent you asked about our authority to collect this debt : As a national bank",1
"The total credit card expenditure on these XXXX hotel stays were {$17000.00}.\"",1
"Discover card is denying my claim and when asked for an explanation I was told that the merchant claimed the charges were made in person and \\\" validated. '' When I asked how were the charges \\\" validated '' the agent",1
XXXX I checked my NFCU app and saw that the Credit Card account was in my profile again. I called NFCU and they indicated that the investigation was complete and consent was verified and card remains open for use. However,1
"I do not want FNBO credit card. FNBO has cases stemming back from XXXX charged for using deceptive business practice. I hope for a fraud solution with the XXXX credit companies so I don't get penalized as a company XXXX  makes {$1.00} XXXX dollars should be held accountable for my tiny request compared to their billions.\"",1
"Exeter Finance, LLC.",1
I have read the Service Agreement for Apple Goldman Sachs Card,1
After multiple attempts with the host ( XXXX XXXX XXXX ) and XXXX there was no resolution and no willingness to provide a refund of any amount. XX/XX/XXXX- I filed a dispute on the charge with my Citi VISA. XX/XX/XXXX I provided detailed documentation to Citi VISA,1
At the following address : U.S. Bank,1
I then called sometime in XXXX after receiving my statement to tell them of the mistake,1
Then on XX/XX/2023,1
"Thank you for any guidence you can provide.\"",1
It looks CITIBANK doesn't want to protect my rights I stated this because I received 2 contradictory letters from them,1
I was not notified by Citi bank and the transaction was allowed and posted on my account,1
"I did not make or authorize these charges! I do not owe them. They are not mine or my responsibility.\"",1
When we called Capital One Travel back to utilize our refunded travel credits and rebook our flight,1
I am asking for the removal of all fees on the account,1
When I checked,1
I then called Chase again to ask for an explanation and offered to provide the documents proving that the purchases were made at XXXX hotels booked through XXXX directly. However,1
3 ) ( Fact # 3 ) The response ( letter ) from Chase list an employee and phone number in the Executive Office of Chase that was available to help. That statement was just window dressing for The Consumer Financial Protection Bureau as I called the number and talked to XXXX and was told by her I would have to contact the Fraud Department. She basically wanted no more to do with it. The letter from Chase states that as of XX/XX/XXXX they have corrected my account. When I told XXXX my account wasnt right,1
"The whole ordeal is affecting my excellent credit score..\"",1
On XX/XX/23 my payment date was approaching ( due on XX/XX/23 ) and the fraudulent charges were still pending on my account ( they stated it can take up to 60 days for them to drop ),1
"Now I have to wait to see what is next.\"",1
FinCo Services Inc DBA Current,1
- As of XXXX,1
I hope this updated description provides the necessary information regarding the disputed transaction,1
The biggest issue I had is that American Express has not been investigating this charge. They constantly send me the same response ending the dispute in the merchant 's favor without answering to the evidence. For example,1
Between XX/XX/2023 and XX/XX/2023,1
This has been a waist of time having to call BOA,1
"Paypal instead of helping me locked me out of my account and then sold my account to Synchrony bank. Before The Bank Bought the debt I told them I have a active dispute with them dont buy my account till this is done they bought it anyhow. So I have no ''way to get to my info on Paypal because of there fraud and this place sold my debt to XXXX and that debt collector that XXXX used served me with a fake lawsuit on top of every other thing he did wrong calling my phone 25 times a day. Never sent proof of debt and under MN Law he voided the debt. So XXXX  sells it back to the Bank and now the bank thinks they can keep trying to collect a debt that is no longer owed.\"",1
XXXX XXXX XXXX XXXX XXXX,1
I should point out that around XX/XX/XXXX I also complained to Amazon directly about Synchronys incompetence,1
To Whom It May Concern,1
My credit has been severely damaged,1
"Status updated XX/XX/XXXX Credit limit {$500.00} Highest balance {$630.00} On record XXXX XX/XX/XXXX nd appears in my credit report like miss payment I had to full this amount This practice Has damage my credit report and Bank Of America since XXXX Close my Checking Account and Credit Card I paid in full and Dispute in all credits bureau\"",1
As a result of my phone call to Macys Customer Service on XX/XX/XXXX,1
XXXX : I call chase - the workers on the phone don't even have record of that being the reason,1
"Now they have merged with BMO and Im trying every phone number that is listed on my statement to make a payment and I cant get through.\"",1
"The late payment listed on this account is therefore in violation of the above.\"",1
I already explained to Citibank that it was not me and that I am also a victim of fraud and XXXX in monitory my credit because back in XX/XX/2023,1
( Please reference Exhibit A-3 ) On XXXX,1
"I never applied for this card. When I called the number on the back of the card a person was asking me lots of detailed information so I hung up on them thinking maybe the number was fraudulent as well. That's why I'm reaching out to you.\"",1
I reached out to Bank of America 's customer service department via phone,1
Thats exactly what I said LOOK AT MY PURCHASE HISTORY! I buy for my current Homes & Cars,1
Klarna AB,1
XXXX I received another letter from Barclays advising that the purchase was not fraud,1
Denefits LLC,1
"The bank would not close the account and was ready to send me a new card even though they allowed over XXXX dollars in charges that are still pending.\"",1
On or around XX/XX/2023,1
"The amount can not be known without knowing the journal and legder entires of the account from the date of account opening as described in Publication IRS 583.\"",1
"I will hold all of you accountable and make you all criminal and civilly liable and responsible and could face up to two years in federal prison. GAME IS UP AND over. Good Luck!!!.\"",1
In light of this,1
On XXXX XX/XX/XXXXXXXX  XXXX 's statement show the payment I did for {$3300.00} to them,1
1 ) Violation of HIPPA laws requires that patients provide consent for treatment,1
"Last communication was XXXX XX/XX/XXXX through my lawyer demanding a response from Synchrony within 7 days or we would have no choice but to proceed further pending litigation and we have not heard back.\"",1
After a couple of weeks,1
I called Citibank,1
Also because the old credit card was paperless,1
On XX/XX/2023 I returned to XXXX,1
"I want my dispute resolved ASAP.\"",1
"4. American Express company internal complaint # - XXXX\"",1
"I have never missed a payment and this is wrong that I get my limit reduced for not spending enough. I had this card as an emergency card and made monthly charges to it to keep it active.\"",1
I have a XXXX XXXX XXXX XXXX and XXXX XXXX XXXX XXXX  and have never had issues with payments or credit line decreases. Its the opposite with them actually. They increase my limit without me even asking. As of today,1
Please reverse all charges for returned payment and late fees as they are not due to my lack of response,1
XXXX XXXX Tracking # XXXX ( delivered on XX/XX/2023 ) A copy of the endorsed bill was also sent to XXXX XXXX XXXX XXXX located at : XXXXXXXX XXXX XXXX  XXXX,1
The document says my account agreement applies to any special promotion,1
To resolve this,1
But when file the claim to the Card Benefit Service ( XXXX ) asking to cover the cost of {$1300.00} during the trip interruption,1
"I am available if you would like to discuss.\"",1
"This year apple has instituted a new rule where they are requiring me to have cell phone service with one of the 3 \\\" Major '' cell providers ( XXXX & XXXX",1
XX/XX/23,1
I was provided the number : XXXX. On this line,1
this company is also furnishing incorrect incomplete in accurate information they are claiming to have charged off and collecting which they can not do,1
"Company : XXXX XXXX XXXX Account Number : XXXX XXXX XXXX XXXX Amount : {$1700.00} I contacted this company as this account was opened fraudulently in XX/XX/2023. I did not authorize this account to be opened or the purchases made. I am not even sure what was purchased from this company.\"",1
"XXXX. On XX/XX/2022 I got a call from Customer Service at XXXX XXXX that because of the mix up they will make good by sending me another package. I told them I do not need any as I already got my reorder. They sent me another package anyway and unbeknownst to me they charged me {$400.00} which they tell me is outstanding and with the finance charges now amounts to {$520.00}. I have been disputing this so many times with Discover Card and XXXX XXXX but they would not clear it. And now my credit rating has come down.\"",1
"a third promotion : Promotional Expiration XX/XX/XXXX Promotional Balance {$720.00} Deferred Interest Charge {$470.00} ( if not paid in full by XX/XX/XXXX Tran Date Description Initial Purchase Amount XXXX XX/XX/XXXX {$720.00} {$470.00} XX/XX/XXXX Deferred Interest/No Interest If Paid by XX/XX/XXXX according to all statement as far as i'm concern i complied to my commitments and my balance on this account should {$0.00} Every month since then i have being getting text messages emails and mailing trying to collect the interest. and every month i call and after 40 to 50 minutes of evaluation they come with the conclusion that my balance should be {$0.00} and will show on the next month statement. that never happened until today. Im hoping your org can help me as i fell i cant do anything else by my self. I have a very good credit score and its not fair if this affect my scores. I feel stressed and harassed every for 8 months.\"",1
"Best Buy 's security operations team sent me a letter 2 days ago stating that \\\" based on their investigation",1
"HELP COME FROM THE CREDIT BUREAU...\"",1
I have paid a total of {$640.00} since I've had this credit card,1
"I also got XXXX XXXX\"",1
In XXXX we get another bill looking for {$170.00} and showing past due amount. Then they start calling me. I explained again what happened,1
"The dates these charges were incurred on our Barclays account were XXXX in the total amount of {$18000.00}\"",1
I was recharged that {$100.00} on XX/XX/,1
Date : XXXX,1
ZIONS BANCORPORATION,1
. Immediately called jpmc to inform them of my mistake,1
After one month ( Around XXXX or XX/XX/XXXX  ) they sent me a bill,1
I explained that the law is the mailing is effective/valid as of the date stamped on the envelope,1
Please help. These people are animals. I have spent many hours worrying about my credit and who has my information and when will it be compromised again. I have stellar credit and am worried about what the future holds in case I try to buy a car or home. Clearly,1
I once again have to take time out of my busy day to try to fix what he did. I will go as far over XXXX XXXX head as is necessary. And then I expect a formal apology from Chase and whatever punishment,1
I need visable pdf supporting evidence that the NOTICE of LEVY for unpaid money is a debt that I as the living person owes. I need proof of the legal order to access my accounts and I need each and every levy to be investigated,1
In my case,1
I followed the instructions given to me by XXXX and sent the fraud department another appeal that included my flight itinerary and hotel reservation. Both of these documents show that I was in XXXX XXXX  XXXX on the day that the fraudulent charge was made in XXXX XXXX. They completely ignored the documentation I provided and,1
You authorize your wireless carrier to use or disclose information about you and your wireless device,1
"Charges : XXXX XXXX XXXX - {$29.00} XXXX XXXX XXXX XXXX - {$130.00} XXXX XXXX  XXXX XXXX - {$50.00} XXXX XXXX # XXXX - {$100.00}\"",1
"I am hereby requesting that Synchrony Bank OVERRIDE their computer and reopen the account as it was before they took this detrimental action against me.\"",1
"So I need to fix this problem.\"",1
The Tems and Conditions of this credit card account agreement states that the highest late fee that can be charged to a customer is 9.99 % for an account of high credit risk. However,1
The Bank 's method of setting up autopay,1
Heres Bank of Americas original response : Our records show : You contacted the XXXX XXXX XXXX on XX/XX/XXXX and spoke with an agent who you advised that when attempting to book a reservation you were shown different prices and needed assistance with booking a flight from XXXX to XXXX for XXXX adults and XXXX child,1
As the number and frequency of contact increased,1
XX/XX/XXXX XXXX ( cst ) spoke with XXXX XXXX Manager ) who asked for the information I mailed to be emailed to her as t appears she can not locate my Identify Theft Affidavit,1
Therefore,1
"I tried several times to resolve over the phone and the company refused to credit me. There website is deceptive and unfair and predatory.\"",1
"And they are still sending letters for us to pay the fraudulent charge and all the late fees/interest charges they applied during this supposed investigation.\"",1
I called a second time on XX/XX/2023 and spoke with two different agents that asked me questions pertaining to my current income and expenses. The agent offered a credit counseling service which is an in-house non profit organization. I told the agent that this service was not something I needed and a payment arrangement with Chase card services was the only resolution that I was seeking. I was transferred to a manager and during the call the person I spoke with attempted to tell me that I was upset ( I was not ) and failed to empathize the issue,1
"Attaching statements for the XX/XX/XXXX  and XX/XX/.\"",1
"My account balance is XXXX and over the limit by XXXX they are not willing to fix my acocunt. Someone messed up on the direct payments and the company will not fix the issue.\"",1
For context,1
This is not just unfair but misleading,1
XX/XX/XXXX overheating did the test engine light with XXXX to find I need thermostat called XXXX XXXX XXXX who,1
I provided all the necessary information for the dispute and canceled the reservation within the stipulated timeframe. This situation should have been straightforward to resolve,1
When I called to cancel the account,1
"National Credit Adjusters, LLC",1
"New Jersey Consumer Banking Laws and Codes Violation : New Jersey consumer banking laws and codes prohibit banks from charging excessive and unfair fees. American Express 's reporting of this junk fee is a violation of these laws and codes.\"",1
"I have been unable to get Chase to address this problem.\"",1
If this is legal,1
I did file dispute with American Express,1
I received a notice on XX/XX/2023 from XXXX saying my credit report was decreased by XXXX points,1
XXXX ) XX/XX/2023 purchase on the state of Alabama for {$13.00} made at a local bar in that state. ( I never been in that State ) XXXX ) XX/XX/2023 ( I was charged the next day XXXX/XXXX/XXXX ) purchase made in XXXX XXXX for {$1700.00} When I saw the first transaction on my Bank Statement,1
"I paid the amount in full on this unknown account under threat of damaging my credit. I never knowingly made a charge. I am requesting a full refund from Barclays in the amount of {$310.00}. Their phone # is XXXX.\"",1
"I was instructed to fill out a XXXX XXXX Credit Report Dispute Form and wait to hear back from their institution.\"",1
I called XXXX and explained the situation. They told me that I needed to contact Bank of America to find out why my credit card had been closed. I went to the Bank of America XXXX XXXX at XXXX,1
I plan to continue to submit this claim as fraud with Wells Fargo and file a police report,1
Even after confirming they were not mine and cancelling my card/ requesting a new one,1
When I followed back up,1
After using the card for a week or so,1
"Talked to customer service on XXXX XX/XX/2023 during XXXX XXXX  onwards. Later to supervisor. Nobody is of any help - in fact they don't know what are they talking about?\"",1
When I reached out to AMEX,1
"Talking to Chase customer service they explained because I didn't pay the entire balance of my XXXX statement. When I asked then why would my XXXX statement specifically mention one number to avoid paying interest when its not accurate.\"",1
Yours sincerely,1
My complaint is : Optum insisted on replacing a card that did not need replacing,1
Throughout the documentation provided by the merchant and payment processor they both had been vague,1
The charge was initially made on XX/XX/XXXX and was disputed through the card company and appealed. On Monday XX/XX/XXXX,1
"Merchant : XXXX & XXXX XXXX XXXX XXXX XXXX XXXX Transaction Date : XX/XX/2023 Transaction Amount : {$6500.00} Disputed Amount : {$4300.00} ( balance remaining after partial credit of - {$2100.00} voluntarily issued by merchant on XX/XX/2023 )\"",1
When I asked who to send an advocate to speak to,1
On XX/XX/XXXX and XX/XX/XXXX I received a returned payment fee and finance charge. Both fees were refunded. On XX/XX/XXXX,1
"Sunbit, Inc.",1
"I receive texts ever since I called them and Ive replied to texts and emails stating that I do not owe them an annual fee on a credit card I have never used or activated. Nothing has been done.\"",1
On XX/XX/XXXX ( far past the 6 week window ) and again not hearing from them I called again. When I told the representative Im calling to follow up he said he did see notes from my previous call but there had been no solution found ( no one had actually looked into it all this time! ) I was put on hold as the representative spoke with multiple people from different teams and eventually came back to me with sorry it took so long to get to this solution but unfortunately there is nothing we can do The calls in order occurred on XX/XX/XXXX,1
"Sent to their email support \\\" That statement does not allow you to violate federal regulations on advertising. The issue I had is with your company 's listings",1
I've made late payments in the past,1
I waited and did not hear back and it was a week later so I called back today XX/XX/XXXXXXXX  to get an update from the supervisor. The supervisor was on another call at the time of my call and thus the customer service rep took my phone number for a call back. The supervisor called me back about 30 mins later and thanked me for calling back and for my patience. The supervisor went on to say that they had received the call back and had heard where I said This will show up in Bankruptcy. My immediate response was I never said such a thing and to stop making accusations that I said those words because I did not. I advised that maybe your employee made those comments,1
"They keep telling me to contact XXXX but since these fraudulent charges were never made using my XXXX account because it was not me they have not been able to help me either.\"",1
"I requested proof/copy of that notification ( pop-up ) and they refused to provide it\"",1
"They said there's nothing else they can do even though I made the full payment weeks before the due date. Now I have a mark on my credit report and no gift card for a simple mistake of entering the wrong numbers into the phone. This is unfair and I have excellent credit... ..this was an excuse by synchrony bank to hurt my credit and keep their gift card!\"",1
When I called and inquired,1
Leg XXXX ( XXXX to XXXX XXXX ) We were scheduled to depart from XXXX on XX/XX/2023,1
In sum,1
"I request an investigation of this company that evades its responsibilities.\"",1
Shortly after,1
"I opened one tradeline with them and anytime I bought anything they turned it into a new credit line. It was not disclosed to me that opening one tradeline with them would result in multiple tradelines. I think they are doing this to get late fees by confusing the consumer.\"",1
In their rebuttal statement,1
Dear Consumer Financial Protection Bureau,1
SELF 's willful GLBA violations and negligent handling of my personal financial information cause me financial harm,1
STATE EMPLOYEES CREDIT UNION,1
Payee account number : XXXX Amount : {$1300.00} Trace number : XXXX Transaction ID : XXXX Sent on : XXXX  Payment effective date : XX/XX/XXXX Payment processed and posted by Amex on : XXXX  ( I have a recording of account payment history by Amex confirming this ) However,1
Please note : CFPB # XXXX,1
I informed the representative of Discover that since I did not know that Discover was trying to verify my identity,1
I respectfully asked whether they could provide any evidence of such a notice being sent,1
"I understand that this is not limited to Chase credit cards but Chase banking products/customers as well. See the following for additional impacted consumers : XXXX XXXX XXXX XXXX XXXX XXXX\"",1
"The amount is described : \\\" $ XXXX $ XXXX '' The disclaimer states : \\\" *An amount within this range will be sent as your automatic payment. Any additional payments applied on or before your due date will reduce the automatic payment amount. '' This payment description is vague",1
I don't know what to do. Chase 's insurance is supposed to cover this,1
I sent the Endorsed Bills per Bill Of Exchange Act 1882 Chapter 61,1
"Without Prejudice XXXX XXXX XXXXXXXX\"",1
"I'm including my statements since last XXXX for your verification. Thank you\"",1
5. The complainant is a victim of credit card account fraud and financial malfeasance. A false liability of {$2900.00} was created against the purchases of {$1600.00}. Thereafter,1
I just received my card statement dated XX/XX/2023 and there is no statement credit. I called Capital One on XX/XX/2023 at XXXX XXXX  and spoke with three different people,1
"Called XXXX XX/XX/XXXX @ XXXX and was on the phone for XXXX mins XXXX sec XX/XX/XXXX @ XXXX and was on the phone for XXXX mins XXXX secs Called XXXX XX/XX/XXXX @ XXXX and was on the phone for XXXX mins XXXX secs XX/XX/XXXX @ XXXX and was on the phone for XXXX mins XXXX secs XX/XX/XXXX @ XXXX and was on the phone for XXXX mins XXXX secs Called XXXX XX/XX/XXXX @ XXXX and was on the phone for XXXX mins XXXX secs XX/XX/XXXX @ XXXX and was on the phone for XXXX hr XXXX mins XXXX secs XX/XX/XXXX @ XXXX and was on the phone for XXXX mins XXXX secs XX/XX/XXXX @ XXXX and was on the phone for XXXX min XXXX secs\"",1
The issue,1
"XXXX XXXX has criminal records I found out everything after the facts and it is very unfair for XXXX XXXX not to give the chance to support my dispute by showing them public record that shows this XXXX has a criminal record for fencing and stealing.\"",1
So I asked the rep to send me a copy of all of my statements,1
Radius Global Solutions LLC,1
Multiple attempts to dispute the charge with Citibank have been unsuccessful. They claim we havent submitted evidence that we attempted to cancel the reservation. However,1
"This is not the AMEX I once knew and loved.\"",1
Find the money I have paid,1
Order # XXXX Order # XXXX I noticed the option to have a 12 month payment schedule,1
"TRANSCARD, LLC",1
"I believe that Chase is not acting in good faith. They are claiming that charges that are clearly fraudulent are in fact legitimate. They give no explanation for their conclusion and they do not report what they did to investigate.\"",1
"Thank you for your prompt attention to this matter. ''\"",1
"They were supposed to charge us {$5.00} and instead they had charged us a total amount of {$2600.00}\"",1
The manager then proceeded to say once they changed the account to a credit card they no longer had my authorization for payments. I asked why would they give me a credit card I did not apply for and did not authorize. Fortiva could not explain that and I asked to close the account because that is fraud. I also asked the manager to clear the late fees as this was not my fault and I did not approve a credit card in my name,1
"I need all hard copies of my requested items listed above to be mailed to me at my location as follows : XXXX XXXX XXXX XXXX XXXX XXXX CA XXXX. Make sure they send via postal mail and I expect this to all be completed in 10 days or less.\"",1
I know I was scammed by them,1
